statename,gender,educ,partyid,firstthought,taxpayer,percenttp,recent,tpfeel,biggest,wagesal,paystub,child,depend,glad,upset,benefit,wastecents,wastethink,eitcself,eitcexp,eitcother,eitcthink,labforce,polideo,polinffreq,regvote,feelfedgov_1,voted,discusspol,poleffic,polvol,polknow1,polknow2,polkno3,marital,ownhome,stateresid,yearbirth,raceeth,hhinc,weightvec
California,2,3,4,"WHEN I HEARD THIS WORD""TAXES"" I FELT WORRIED AND UNHAPPY AS  IT MEAT I MUST SPEND THE MONEY TO SOMEONE OR SOME  PLACE TO GET WHAT I NEED ",1,79,SUCH AS DO SOME SURVEYS ONLINE TO EXTRA MONEY WHAT SHOULD I PAY THE FEES TO,NOT FELT SO STONGER ,MY HOUSE'S FEES,1,I COULD NOT RECALL ANYTHING,0,NONE,,,I'VE NO IDEAS,40,NA,2,NOT SURE,3,,1,4,3,2,41,2,4,3,4,3,3,6,1,1,5,47,3,17,5.000013911
California,2,2,4,"government, taking mre than their share and not getting much in return from them",1,70,paid sales tax on item purchased yesterday,terrible,sales,1," Fed. income, Disability, Soc. Sec., State income",0,0,Police and Fire protection,Paying for elected officials many many perks,do not see any thing that has benefited me personally,90,Elected officials saleries and perks,3,,3,,6,6,4,2,0,2,3,4,4,1,1,6,1,1,5,6,1,11,0.574527399
Oregon,2,2,7,I generally think of the IRS,1,49,I paid taxes on gas in the last few days.,I get  used to it and just expect it.,Property Taxes on my home,1,"Fed Income Tax,  State Tax,",0,"Just the two of us, my spouse and me","Schools, roads, libraries, public transportation;","Welfare and health care for illegals, government waste","Yes;  I have access to libraries, public transportation, and better roads because of it.",20,"Presidential vacations - too many!, Unnecessary research; Too high of salaries for many employees",2,It gave me a credit towards my taxes and produced a refund;  This was YEARS ago.,1,It helps the working family in usually getting a refund which they can generally use.,6,6,2,1,19,1,2,4,4,1,1,6,1,1,38,17,1,13,0.673454506
Texas,2,5,4,Obama to raise them so he can support his Marxist/socialist agenda and raise the welfare recipients paychecj,1,51,3 days ago it was a sales tax,"Makes me madder than hell to pay my taxes and have the welfare recipients suck it out to sit on their butts, do drugs and not work at all.","Sales tax, income tax",1,"FICO, SS, ",0,no,Not a damn thing at this point.,"All of the waste and government corruption and greed, the welfare system, the SNAP program, and the double dipping of the programs.  Sometimes as many of 10 or more that do the same thing.","No, only the welfare and illegals benefit from my tax dollars.",53,"Welfare, Medicaid, government spending, the executive branch, state department, EPA, Commerce, education, any and all other government agencies.",3,,1,It needs to be eliminated because it leads to fraud and abuse.  Such as the illegals getting the child credit when they are not qualified to receive any government benefits.,1,7,1,1,0,1,1,1,1,2,1,3,1,1,44,9,1,NA,0.759489452
Oklahoma,1,6,2,money paid for government support,1,89,sales tax on store purchase,priveledged,income,1,fica / medicare / social security,0,no,government / roads / bridges / law enforcement / military,frivolous research / arts / ,"yes, can drive safely",45,"perks, pork and graft",3,,3,,5,5,3,1,63,1,3,3,4,1,2,6,5,1,37,28,1,17,1.302865633
Florida,1,3,7,cheating me out of my hard earned money,1,66,at the grocery store. What more do you want me to say?,like a bitch,groceries,1,federal,2,2,social security what else do I need to state?,everything that I do not feel that I have to pay for,no,91,obamas travels,1,not good enough,3,,1,6,2,1,28,1,3,2,4,2,1,3,1,1,10,45,1,17,2.38104843
North Carolina,1,2,4,to high government waste too mush,1,10,"out of my pay check and last time I got gas, food",going to people who will waste it,payroll taxes,1,fica social securty,0,1,"fixing road, street lighting",given to things to see something,no,81,pot belly stuff,3,,1,people have kids so they can get some,2,6,2,1,5,1,3,3,4,2,1,4,3,2,34,25,1,8,0.432154266
Delaware,1,6,6,paying money to government,1,71,paid income tax to state and fed gov,like I am being ripped off,social security tax,1,fed tax / state tax / med tax / fica,3,yes-wife,paying to pave roads and for libraries,welfare for people who don't deserve it.,"no, not at all.  I earn my money, and my taxes go to those who do not work for it.",60,"wastes of time, resourses...",3,,3,,1,6,4,1,30,1,3,4,4,2,1,3,1,1,8,47,1,17,2.38104843
Texas,2,5,2,"april 15th, credit cards, grumpy",1,51,last year I owed several hundred dollars,it's not fun and I dread tax time in April,not sure,1,social security,0,0,"roads, police, fire department","subsidies, buyouts, etc for wall street and corporations","yes by driving on roads, being protected by police and fire departments",39,bureaucratic waste and inefficiency,3,,2,I'm fine with it,1,2,3,2,41,2,3,1,4,1,1,6,5,3,44,53,1,12,0.789782315
Maryland,1,3,3,Taxes on salary and other income.,1,62,I paid sales tax on my lunch,It feelslike being part of the country,property tax is largest part of my budget,1,"state income tax, FICA, Social Security, gross salary, health insurance",0,0,National defense and education,tax credits to corporations for political advertising,"yes, I receive social security retirement payments",20,"overpaying for products, missing 100 billion dollars shipped ti Iraq in 2003",3,,1,"it is a good thing for thoose who work, but do not earn enough to get by",6,4,4,1,68,1,1,5,4,2,1,3,3,1,21,16,2,7,1.613148041
California,2,3,2,helping the country run effectively with all our help,1,82,in my paystub/paycheck on the 1st,"ownership and responsibility feels fine, enjoy contributing",SS and medicare out of our checks,1,"SS, medicare, state, CA SDI, federal",0,0,"police/firemen, my Medicare benefits and social Security",I'm not upset over paying taxes other than high amount,yes since I'm not receiving SS and Medicare and getting what I've put into that so many years,19,"too many disorganized branches, not weeding out unused agencies",3,,2,great for family assistance,2,3,2,1,43,1,2,3,3,1,1,6,3,3,5,16,1,13,0.673454506
Pennsylvania,1,5,1,rich people not paying enough of them,1,70,"sales tax on a purchase, excise taxes on cigarettes",necessary evil,income taxes,1,"social security, payroll",1,no,"NASA, science grants, social welfare, medical research","military, subsidies for companies that don't need them","somebody has to pay for schools, police, firefighters, road maintenance, etc.",25,$1000 screws for fighter planes,2,minimally,2,I'll take whatever credit I can get these days,1,2,1,1,10,1,2,4,4,2,1,3,1,1,39,33,1,15,0.503497879
Nevada,1,5,6,April 15th compiling all my receipts and documents to do my taxesnonline so I can get a refund ,1,81,Today when I made a purchase I paid sales tax,I am doing my part just like most other Americans,FITW,1,"Fitw,Fica",0,0,"Military, interstate highways, FBI",Welfare that is paid out via fraud,No,20,welfare thatbis paid out fraudulently,3,,3,,6,4,3,1,52,1,3,4,4,2,1,1,1,1,29,26,3,15,1.176626343
California,2,4,3,"not happy,always being charged more feels like",1,34,"last year, paid income tax","very unhappy, and feeling ripped off",no idea,1,"State tax, city tax",0,0,can't tell now and don'r wish to share it here,"again, I'm not feeling comfortable sharing that info here",none,51,Government official'x expenses,3,,3,,1,3,2,1,55,1,2,2,2,1,1,6,5,3,5,42,4,12,1.834465926
Maryland,2,6,1,money paid by citizens to fund government services,1,71,paid sales tax on a purchase yesterday,"dutiful, responsible",income taxes,1,"Social Security, Medicare, Unemployment, Federal, State",1,yes,"multiple government services including roads, safety, emergency services government functions, aid to poor and homeless, schools",subsidies to pay people not to produce food,"Yes,  roads, public safety, educational services, etc",10,"Subsidies that reduce productive activity, bureacracy",1,very helpful to allow me to support my family,1,I think they can be a help for people who want to work and support their families,1,2,2,1,51,1,2,2,3,2,1,3,1,2,21,35,2,19,3.327227455
Arizona,1,2,4,money the government steals from us,1,75,tax buying groceries at the store,its a good thing but is not being directed to the right places,income,1,federal state fica,2,no,police fire roads mail freeways,corrupt politicians that don't do their job,not really,90,politicians war funding big businesses,1,it helps out a bit in the end,1,it helps americans get some of their money back,1,4,2,1,1,1,3,2,4,1,1,6,1,1,3,37,1,13,0.460739774
Indiana,1,3,1,less disposable income and more spending,2,60,i paid my back state taxes for 2010 in Feb 2014,death and taxes two sure things,None,1,"Federal, state, local, SS Taxes, medicatre Taxes",0,no,"defense, infrastructure, education",pork barrel spending in congress,"yes, the roads and my safety",19,duplication of grants to study things of no conciquence,3,,3,,9,3,3,1,39,1,3,2,4,2,2,3,5,3,15,24,1,7,0.538743107
Indiana,2,5,4,money I have to pay to the IRS,1,50,"Last month, I paid property taxes, and I always pay sales tax when I purchase something.",It can be annoying.,income tax,1,"social security, and state and federal taxes",0,no,I am glad my taxes pay for social programs.,I am upset that my taxes pay for the many wars in which we are involved.,I benefit when i receive services from social programs and when social programs benefit others about whom I care.,80,I thought of the wars on which the government spends money.,1,"Wehn I qulified for it, I received some money and it helped a lot to pay for necesities.",1,I think it's a good program and it helps people who need it.,2,2,2,1,40,1,2,1,4,4,4,3,1,1,15,39,1,4,0.782012106
Florida,2,2,NA,"I dont like taxes. Not only do we have to pay for every single little thing in life, but we got to pay taxes on top of that. I dont like what the goverment does with our tax money either. They waste it and use it for themselves",1,83,I paid tax yesterday to buy some Chinese food,I dont like it. I prefer to not pay taxes ,"Taxes from my income. they take a lot from there, and i practically get nothing back",0,,0,0,Nothing. I want my money that I work so hard for every day,Government spending. Giving it to other countries,No I have not,100,They use it for their own personal use or give to another country,3,,3,,1,NA,4,2,2,2,4,1,NA,2,4,6,5,2,10,61,3,12,5.000082764
Florida,1,2,4,paying sales taxes on itemes that you purchased from the store,1,70,"when i went to the grocery store for some food, ended up paying sales taxes on food","wish we wouldn't have to, pay extra money",groceries,1,"federal income tax, medicare employee tax",0,0,"re pavement of roads, construction for new stores and gas stations","pay tolls are a nuinace, on the highways, stop and take and find coins in your car",i have gotten those taxes back as a refund every year,40,usefull remodeling projects that arn't even needed,2,it gives us a little xtra money coming back,4,,1,6,4,2,40,2,4,2,4,1,2,3,5,3,10,49,1,9,0.789782315
Florida,2,2,7,dread finding out amount we have to pay always glad when tax time is over,1,39,last year we paid at tax time was a little less then usuall because we made less,burdened but also glad we make enough to have to pay taxes,federal tax we are not big spenders,1,federal and social secutity,0,0,"military, foreign aid, medicare","welfare, food stamps. giving money to people that have a better life style then we do",safety of our country,80,to much papper work in everthing the government does,3,,3,,6,6,1,1,40,2,2,2,4,1,1,3,1,1,10,16,1,13,0.74043831
Ohio,2,2,4,a lot of money coming out of my check,1,96,taxes taken out of each pay check and sales tax.,it sucks,taxes taken out of my check,1,"fica, medicare, ss",1,no,I don't know exactly what all my taxes do pay for.,I really don't have a clue.,no not really,79,nothing in particular,1,it gave us more back in income taxes,4,,2,2,4,2,33,2,4,3,4,4,4,6,1,1,36,43,1,10,0.984578453
Illinois,1,4,3,government wanting my had earned money but it does help my community schools helps the town update the roads keeps thins modern I guess we  need them,1,90,this week property tax and every time I buy somthing,great,property,1,federal-state-social security,0,spouse,getting my grand kids a education fixing up the town like holes in the roads maintaining sewers  in general keeping the town up to date and making it a better place to live,political people that do not do anything to help the middle class,better place to live,24,there salary,1,helps a lot,2,like it,3,4,1,1,59,1,2,4,4,1,1,6,1,1,14,20,1,12,0.538743107
Virginia,1,1,4,government paid lifestyle,1,90,each time I shop for food,good,groceries,1,state federal ssi,0,0,my retirement low cost medical,things that government officials use for there projects that do not benefit us.,"yes, retirement",60,politic seats  parties lifestyles,3,,3,,6,6,3,1,40,2,4,3,4,3,3,6,3,1,47,20,1,3,0.343243209
Texas,1,5,6,"gov't burden, wasteful, currently hamstringing the economy",1,51,"day-to-day we get hit for 8.25% sales tax.  annually property taxes.  federal and state fuel taxes on gasoline purchases.  many other franchise taxes and fees on telecom and utility related services.  federal income and social security taxes, medicare taxes","i'd feel much better about it if i had confidence in the people, philosophies, and practices of the various gov't levels levying taxes, regarding how they spend and waste my money",property taxes,1,"federal withholding, fica, medicare",0,0,"military defense, local fire, police, and school services","handouts to unfriendly foreign gov'ts, the redistribution of wealth through entitlement and H&W program acceleration, the lowering of standards to qualify for welfare related support",it depends on the levels of gov't.  taxes are better focused on local needs locally.  the federal gov't has lost it's way regarding what it's purpose is,31,"fraud, abuse, ridicuously special interest driven spending, foreign handouts",3,,4,,4,6,2,1,19,1,2,4,4,2,1,1,1,1,44,23,1,14,0.506566333
Indiana,2,1,4,the government taking our money to over pay themselves,2,81,2011 was the last year that i was required to pay taxes,irritating,social security tax,0,,2,0,food programs such as WIC and SNAP,the wages of governments highest employees,used WIC when my older children were small,66,"government officials' wages, decorating the white house, expensive foods and travels for political officials",1,a bit extra back to pay off debt,4,,9,3,2,1,42,2,2,2,2,1,2,6,3,4,15,33,1,12,0.538743107
New Jersey,1,2,NA,Are you Ok brother.. / I am Sick,3,12,Are you Ok / i am sick brother,Are you Ok / i am sick brother,Are you Ok i am sick brother,0,,0,Are you Ok i am sick brother,Are you Ok / i am sick brother,Are you Ok / i am sick brother,Are you Ok / i am sick brother,12,Are you Ok i am sick brother,4,,4,,NA,NA,NA,2,0,NA,NA,NA,NA,4,4,6,1,5,31,54,2,4,1.592262766
North Carolina,1,5,NA,the wealthy getting away with not paying enough,1,81,today when I bought gas for my car,like I am doing my part to help the country,income ,1,federal / state / unemployment,2,3,public schools and roads to drive on,I do not know enough to really be upset,yes with public schools for my children,92,spending money unnecesarily,4,,4,,1,2,4,1,15,1,4,5,NA,4,4,6,1,3,34,38,1,12,0.789782315
California,2,4,4,government overspending on projects,1,71,yesterday   sales tax on purchases.   ,sometimes it feels responsible  other times it is burdensome...depending  on the tax.,at this point probably sales tax as we are retired so income tax is no longer what it once was to us,1,sai    fica   ,0,no,aid to those who really deserve it and are entitled to it by law.  not those services that go to illegals and those who abuse the system.  also those that pay for infrastructure. are valuable,"illegals,   handouts to those abusing the welfare systems","sure...improvements in our roads, medicare to which I am entitled.",52,over payment for jobs...overspending for supplies.   giving away money to those people who are to entitled to it.   ,3,,2,i suppose if it is a legit necessity it is great.  but these are the things that are always abused.,6,4,2,1,29,1,2,4,1,1,1,3,1,1,5,17,1,10,0.574527399
New York,1,2,4,my money that lines pockets in government,1,100,"everytime i work and get paid,when shopping,","ripped off,i dont see my money at work","social security,county tax on everything,ny state tax on everything.",1,"ss,ny,disability,",1,yes,"nothing,if you need anything they act like they are doing you a favor,its my taxes.","overpaid politicians that have their  interest in mind,not the ones that have to pay them.","no,",81,"congressmen,senators,overpaid to make decisions for underlings",1,"just giving my money back,its my money after all",2,"county and state and federal taxes,they should pay me more",1,4,2,1,1,2,2,1,4,1,1,6,1,1,33,29,1,11,0.429536552
California,2,5,3,poorer people pay more than richer people,3,70,I am not sure how to answer/which kinds of taxes you mean.,Not that great,sales,1,ss,0,no,me and my family's necessities,"The military, war, weapons, etc.",social security now,30,war,2,ok,4,,2,2,3,1,30,2,3,NA,4,1,4,1,5,1,5,16,1,3,0.456324613
Georgia,1,2,4,I think of the schools in the United States,1,80,I have paid corporate income tax,good,personal income tax,1,which taxes can you recall appearing on your paycheck,1,no,What comes to mind when you hear the word,"When you hear the word ""libertarian"" what comes to mind",i don't no / ,81,government waste,2,taxes and your family,2, Earned Income Tax Credit ,4,2,3,1,63,1,2,3,2,2,1,3,1,2,11,51,4,4,1.601966451
Ohio,1,3,5,An amount taken from my pay or my companies earnings that is way too high,1,49,The last time I bought something at a store,disgusted,income tax,1,"fed income tax, ss tax, state tax, local tax",0,1,Defense and infrastructure,"All the crap we give to other countries, ridiculous research, politicians pay, air force one for vacations etc ","some. I've drove on roads, had police and fire protection. ",60,"research, bailouts, aid to foreign countries, too high of salaries for politicians",3,,3,,1,7,1,1,6,1,2,1,3,2,1,3,1,1,36,27,1,17,1.624211387
Texas,2,5,6,the amount you are charged for certain items,1,80,when I had to do my income taxes yearly,it makes me feel responsible,now it is property taxes for my boyfriend,1,social security,0,0,"Iam glad that my taxes, in the past, helped pay for our city, state road system.",Nothing that I can think of offhand.,no,66,the cost of court sessions and the like,1,This tax benefit helped to give me money for my childrens expenses.,3,,6,4,1,1,76,1,3,2,4,2,2,1,3,1,44,20,1,1,0.343243209
Tennessee,2,2,7,wasting tax payers' money,1,80,Yesterday at the store when I bought something,don't feel anything. just something you have to do.,what we pay on the things we buy in the store,1,"state, federal",1,my adult son,"schools, roads, military, national parks, police,","abortions!!! our enemies to hurt people, stupid research, outrageously priced things the government uses, methadone for addicts everyday insatead of to tap[er them off drugs, uncle sam is a pusher!!! ","my kids and I went to school, I drive on the roads, love the parks, etc.",60,"the big bucks the prez gives to our enemies!!! the big price they pay for things they use, and the office supplies",1,we have more money for things we need,3,,1,7,3,1,19,1,3,2,4,2,2,6,3,3,43,19,1,7,0.432154266
California,2,3,1,The word taxes makes me think of government and paying money every year and having it deducted from my paycheck,1,81,the last time i paid any kind of tax at all would be when purchasing items at the store when they add a tax onto the items,"it feels like im contributing, but also is an annoyance",sales tax,1,"federal, california",0,0,Government spending programs that make sense and benefit society and improve our society versus wasteful ones that do nothing positive,Wasteful programs that do nothing to benefit and help society but instead waste our money,"probably, just in that it is used for government spending",40,programs that are unnecessary,3,,4,,2,1,NA,1,40,2,3,4,1,4,4,6,5,3,5,57,1,NA,0.718334602
South Carolina,2,3,7, things you buy you have to pay taxes,1,70,when i bought grociers and when i bought a car,i feel like i'm part of all the american here in the usa,it is when we buy food or thing for thr home,1,ssi  federal state,0,no,to help people to get a job,nothing i'm glad that they help people in need,now that i have retired and drawing my ssi,40,you  name it the government has done it,4,,3,,6,4,3,1,19,1,2,1,4,1,1,6,1,1,41,13,1,6,0.631671616
Virginia,2,3,3,rich not paying fair share,1,81,"this week ....property taxes, home and cars",good,federal income,1,"social security, state, federal,",0,1,"roads, education, military, school lunches, social security, ","people pretending to be disabled, foreign aid , ","yes, roads, education, military, health ,security, ",22,"military purchases, payments to unqualified disabled people, foreign aid",3,,1,good for young families,2,4,2,1,56,1,2,2,4,2,1,3,1,1,47,17,1,13,0.74043831
California,1,3,6,"TAKE MY MONEY, PLEASE!! I pay taxes every year, it is my duty and obligation as an American",1,30,"I write a check to the IRS for 32,000$, it was painful",Patriotic,sales,1,"fica, soc sec",1,2,"Health. EPA, miltary, Supreme Court and others",Congress and their minions,Yes. the country benefits,60,Congress,1,I have dependents and I take a tax deduction,3,,1,3,1,1,40,1,1,4,4,2,1,3,1,1,5,28,1,19,1.185001802
Oklahoma,1,2,6,Crooks in washington can't balance a budget,2,70,I paid sales tax on my groceries I bought the other day,like I'm being bent over,sales taxes,1,"fica,",0,0,The veterans Who have been wounded serving this country,people who are on welfare who dont deserve it .,yes I'm on disability and get food stamps and help with my drugs that I take. ,92,The politicians in the congress and the president to start with ,3,,1,just another way to screw me and give it to a bunch of undeserving druggies who are to sorry to get off there sorry asses and get a job.,6,6,4,1,0,2,2,2,4,2,1,3,5,4,37,31,1,3,0.343243209
New Hampshire,1,2,7,Raising money to cover the cost of running the government or state.,1,92,Income tax last week from my pay check.,I don't mind paying taxes if the money would go to a good cause.,income tax,0,,0,no,People who really need to live on like welfare and SS.,Wasteful sending on things that will not help the people of this country. ,In some ways yes and in other ways no.,81,giving other countries money.,3,,3,,2,6,3,1,49,1,2,3,4,2,2,6,1,3,30,13,1,11,0.627845355
Indiana,2,2,1,something that they take a lot of of money out of my husband check,1,81,oct 29 2014  i pay quarterly taxes every 3 month.  its also what you pay on everyday products,it sucks,federal,1,fica  federal medicare  state  country,0,1,nothing makes me happy about paying taxes   you pay for services that are being abbused,they take out way more then i like,only when we get our taxes back its a good chunk,60,medicaid,3,,1,its ok but i think it causes more people to have children,8,2,4,2,20,2,2,1,4,1,2,6,1,1,15,27,1,15,0.631508565
New Mexico,1,4,2,republicans back in command,1,60,the last time that I went to the store  this morning,I feel good but I would like everyone to feel good,federal and locat taxes,1,federal and state,0,yes,our military and their equipment,what we give to foreign governments,"yes, I am retired from thirty rears in the army and social security",40,overpaying for services and equipment,2,not much any more,3,,6,3,3,1,60,1,2,3,4,4,4,6,1,1,32,1,1,16,0.673454506
Virginia,2,5,3,payments to governments to run our country,1,82,property tax was paid at the country office building,responsible,federal income tax,1,"state, federal, fica",0,0,police and fire protection,strange research projects with limited applications,"yes, provide police and fire protection, keep roads in good repair, keep street lights on, fund the library and the schools",19,huge number of employees,3,,3,,2,3,2,1,71,1,2,2,3,2,1,6,1,1,47,22,1,11,0.432154266
Iowa,2,2,4,"unfair, theft, usury, the federal reserve, the IRS, cheats",1,91,"went shopping saturday, paid sales tax",like I am being stolen from every day of my life,income,1,"social security, state, federal, fica",3,no,"nothing, I would prefer to use my money to pay for what I want, not forced by the state.","police, schools, minority programs, military invasions of other countries","no, not at all.",99,"parties, studies that mean nothing",1,it allows us more of our own money back,4,,8,4,1,1,2,2,2,1,4,1,4,3,1,1,16,48,1,12,0.984578453
Colorado,2,2,4,Politics & lies/promises of making schools & roads better,1,84,Yesterday at the gas station I paid sales tax on my drink,"There are no feelings, I don't really have a choice",taxes that are withheld from my paycheck,1,"Social security,  Federal & state miscellaneous taxes",0,No,"I honestly don't know exactly what my tax dollars pay for. I know what they are supposed to pay for,  but I don't know what actually happens with any of that money","Whatever is not actually for the general public 's well-being, but I guess it's a matter of opinion what is actually for our well-being","I do and don't. I receive disability payments,  but I still pay my fair share back in income & sales taxes.  I do benefit from the EIC when I file taxes.",50,the government & politicians who live beyond their means,1,when I file my taxes I am able to receive a little extra due to the EIC,4,,2,NA,3,1,68,2,4,NA,4,4,4,6,3,3,6,47,1,1,0.570545043
Iowa,1,2,1,having to pay money to the government,1,66,at a store when i bought a shirt  and shirt online,it feels alright. i wish i didn't have to do it,income makes up the biggest part of it,0,,1,0,schools and different things like that.   make street repairs better,i'm not upset about anything that my tax dollars pay for,it all comes back to me in a form of payment at the end of the year as profit,80,wasting money on sending people to jail and prison,2,it doesn't  affect me either way,2, i think it is great thing to help a lot people out that can use more money,2,1,1,1,46,1,2,2,2,1,1,3,6,1,16,43,1,NA,1.183806476
New Jersey,1,5,4,Taxes should be higher on the very rich.,1,91,"I am always paying payroll and income taxes, sales tax and property taxes. The most recent tax I paid was gasoline tax.",I don't mind being a taxpayer because government is necessary and it has to be funded. I think the very rich should pay higher taxes and government waste whould be eliminated/reduced.,Income taxes.,1,"Federal income tax, state income tax, FICA, state unemployment and disability.",0,No,"National defense, social security, medicare, fda, schools, infrastructure, and most of everthing else (at least 80% of the agencies and programs should exist).","Outdated corporate subsidies, subsidized birth control in the affordable care act, most earmarks, humanitarian aid to China.","Yes obviously. Federal, state and local tax dollars benefit me in many ways.",30,Inefficiencies and government jobs which exist because of cronyism and aren't really necessary.,3,,3,,1,4,2,1,80,1,1,1,4,2,1,3,5,1,31,43,1,13,0.920166135
California,2,5,2,paying money to the government,1,78,I paid sales tax at the grocery store.,I feel lousy.,I think a good portion.,1,medical,3,3,for new roads and public services,People who are on welfare who don't need it.,not really,35,Too make expenses by government,4,,2,I don't know,1,3,2,1,32,1,2,2,2,1,1,6,1,1,5,43,4,13,2.15034017
Wisconsin,2,3,1,Yck - a necessary evil to contend with annually.,1,91,Just paid a sales tax on some donuts I purchased today.,"Not that good - I think, as I said initially, it's a necessary evil. However, when I think of the services my taxes provide I'm happier.",Federal Income,1,State and federal income taxes and FICA,0,0,"SS, Medicare, Disability; help in horrendous natural catastrophes.","I have to be honest, I'd have to study this question long and hard to come up with an answer.","Yes, the services provided by my taxes benefit me. For instance I'm on SS and I certainly benefit from that.",80,Armored vehicles that went to certain State Polic Dept.s,4,,4,,6,2,1,1,5,1,1,1,2,1,2,3,1,1,50,16,1,12,0.787470485
North Carolina,1,1,4,A very evil thing that should not even be,2,80,"a few years ago when i worked, before i became handicapped.","USED, taken advantage of, cheated, the Governments unwilling sugar daddy.","Sales tax, the tax we know about, and the hidden tax we're not suppose to know about.",1,"state, federal, fica",0,0,nothing i don't pay taxes since since i became disabled ,"everything, taxes were supposed to be a temporary thing, till the government got gready.",the disability check i receive ,99,research programs that makes since,1,none now,2,it's a good thing i guess.,9,6,4,2,17,2,4,5,4,3,3,6,1,3,34,31,1,1,0.343243209
Florida,1,2,4,"bureaucracy, waste, fraud",1,51,I pay taxes every day and of all types,i feel used and abused by the power elites and by those gaming the system,federal income taxes are the largest taxes we pay,1,"federal, state, FICA, unemployment/disability and medicare",0,no,national parks and forests and some other scientific,"military industrial complex for endless wars, prison industrial complex, militarized police, illegal surveillance state","there are some benefits to taxes on a local level, schools, roads, fire, garbage etc",60,all of the vast staff and useless departments,3,,3,,2,4,2,NA,1,NA,3,NA,4,1,1,3,1,3,10,35,1,13,0.506566333
Massachusetts,2,6,4,"Money collected from the public to be used to support public necessities, such as a military organization for defense, roads, public works etc.",1,45,Gasoline tax on the purchase I made today to fuel my car.,"Taxes are necessary to further the public good, but I often feel that my tax money is squandered by self-serving bureaucrats.",Income tax.,1,"Federal and state Income taxes. I did not pay Social Security taxes or Medicare taxes as I was a teacher in the public schools. However, my husband has paid income taxes, Social Security and Medicare taxes to the cap throughout his 38 year career. ",0,0,Municipal tax dollars are important for fire and police protection; I made the public school system for only a limited time to educate my children; roads around here are horrible.,Welfare for people who are able-bodied and could work; single mothers (not widows) who have guaranteed themselves a life of poverty by irresponsibly having children. Mismanagement (waste) of funds which should be used to further the pubic good.,"No, I just pay in.",50,Ridiculous research projects; terrible immigration policies which cost a fortune; lack of accounting oversight whether due to incompetence or outright criminal neglect.,3,,3,,6,4,2,1,40,1,4,2,3,1,1,3,1,1,22,16,1,19,1.892838277
Florida,1,3,1,nonenonenonenoneonoenoneonoene,2,50,onenoneoneonoenoneonoenoneieopeiob,onenoenneonoenneonoenoneoneone,nonenooen,0,,0,0,nonenenneoneonoenoenneoneonoenoenoneonoenoneone,oneneononenoenoenneoneoneoneoneonoenoneoneoneo,none,60,noneonoen,3,,3,,4,1,4,1,0,1,4,3,4,1,1,6,5,1,10,46,1,7,0.789782315
Georgia,2,3,2,filing at the end of the year/beginning of following year for refund,1,78,the last time I went to a retail store...earlier today,ive been one for so long it doesn't phase me,not sure,1,"social security, fica, federal, state",2,0,"education, social services, ",not really sure off-hand how to answer this question,yes.  I have used social services,20,not really sure and i really dont like these questions. they make me feel stupid.,1,helps me pay off more of my debt,2,I like it and feel I deserve it / ,1,NA,4,1,28,2,3,3,4,1,4,6,5,3,11,42,1,7,0.789782315
Pennsylvania,1,5,1,money that will be spent out of my pocket,1,91,sales tax at the grocery store,stinks,federal income tax,1,"federal, state",1,1,nothing............................................,i have no idea to be honest,i have no idea to be honest,18,not sure,1,just a little bit,3,,1,2,4,1,38,2,4,4,4,4,1,6,1,1,39,45,1,17,2.366625567
Pennsylvania,1,4,1,out of pocket and your pay check get smaller it would nice to see a little more in my check,1,60,today at the gas pump and in are area that is 63 cents a gal,as of right now not to good it ishard to put food on the table,real state make up the bigest part and thatis hard to make up,1,ssc state  fed state  unp tax,0,1,the ones who need help this the most important to me,they are payed way to mush in washington dc,as of right now nothing the senater and house member take a lrde% of this for there pay,98,ther pay,3,,3,,1,7,1,1,5,1,1,5,1,2,2,6,1,1,39,26,1,12,0.429536552
Florida,1,2,4,pay more money to the polititians,1,88,2013 income tax for my earnings,so so,merchandise taxes,1,fica,0,0,medicare is my insurance paid for by my taxes,paying for welfare to people who abuse it and ti illeagle immagrents,yes,42,paying exiled germans,3,,3,,1,4,2,1,57,1,3,3,4,1,1,6,1,1,10,14,1,12,0.631671616
Massachusetts,1,2,5,Obama and his failed polocies,1,81,buying cigarettes and basic food stuff,"not that great, but helps I guess",has to be food and gas,1,"fidc, state and federal taxes",0,no,"police and fire depts., and city and state funds","to people from other countries, ILLEGALLY living here","yes, when I start collecting SSI",61,billions we give to other countries that HATE US,1,"more money ,means more money for my family",2,it is a blessing for lots of small families,9,6,2,1,50,1,1,1,2,2,1,6,3,3,22,23,1,5,0.341164062
New Jersey,1,5,2,paying our government for our services,1,65,I went to the grocery store and paid sales tax on my non=food items,good--paying my share,property taxes,1,"Income Tax, State Tax, FICA, Unemployment Tax",0,0,"medicare, medicad, military, FBI","foreign aid, congressional perks, pork barrel projects",I have received Unemployment in the past and had Medicaid pay for emergency services,15,obscure subjects and bridges to nowhere,1,minimal impact,1,It is a nice thought but not generous enough to make a real difference,1,4,3,1,65,1,2,2,4,1,1,3,5,1,31,29,1,13,0.503497879
Michigan,1,2,4,raising or lowering taxes,2,99,at Walmart supermarket in electronics department,not good,tax return,0,,0,yes,"electronics, clothing and food","bills, bills, and more bills",no,100,themselves,4,,2,don't know about it,5,4,3,2,20,2,4,3,4,3,3,1,5,3,23,56,1,1,0.782012106
